mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;Basis-jaarlijks;Beginjaar;Bestrijdingsmiddelen;Bodemtype (detail);Bodemtype (grof);Ecokleurenkoers;Fysisch-chemisch;Gemeente;KRW-biologie;Landgebruik 2015;Meetpuntsoort;Naam water;Plaatsnaam;Publicatie op internet 1;Quickscan-vegetatie;Type watergang;Vistrajecten;Vlakdekkende vegetatieopnamen;Waterbreedte in m (in het veld geschat);Waterbreedte in m (legger);Waterdiepte in m (legger);Waterlichaamcode;Waterlichaamnaam;Watertype waterlichaam;Zwemwater
00001;Noorderkanaal, splitsing met Rotte vanaf brug;93227;439623;SCHIEL;Schieland;3;;M03;;;1967;;Bebouwing;STEDELIJK;Blauw;;Rotterdam;;Boezem;Regulier;Toevoerkanaal;Rotterdam;;;Boezem;;;;25;2,65;NL39_01a;Rotteboezem;M3;
00002;Bergse Achterplas, bij Lommerijk 1ste steiger noor;92923;440394;SCHIEL;Schieland;3;;M27;;;1967;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Plassen;Regulier;Rotte;Rotterdam;;;Overige watergang;;;;36;2;NL39_07a;Bergse Plassen;M27;
00003;Rotte, nabij De Kooi 50m noord van uitstroomhoofd;97306;444911;SCHIEL;Schieland;3;;M03;;;1967;;Water;OVERIG;Groen;;Zuidplas;;Boezem;Regulier;Rotte;Zevenhuizen;;;Boezem;;;;45;1,4;NL39_01a;Rotteboezem;M3;
00004;Rotte, Bleiswijks Verlaat, Calamiteitenplan Ztm;97976;447669;SCHIEL;Schieland;3;;M03;;;1975;;Water;OVERIG;Groen;;Lansingerland;;Boezem;Regulier;Rotte;Bleiswijk;;;Boezem;;;;130;1;NL39_01a;Rotteboezem;M3;
00005;VAART Bleiswijk duiker nabij spoorbaan Hoefweg;96958;449954;SCHIEL;Schieland;1;;M10;;1;1975;;Bebouwing;STEDELIJK;Geel;1;Lansingerland;;Boezem;Regulier;;Bleiswijk;1;;Boezem;;;;7;0,8;NL39_02a;Vaart Bleiswijk;M10;
00006;Rotte, Holvoeterbrug Moerkapelse Zijde vanaf brug;98399;450672;SCHIEL;Schieland;3;;M03;;;1967;;Water;OVERIG;Groen;;Zuidplas;;Boezem;Regulier;Rotte;Moerkapelle;;;Boezem;;;;15;1,2;NL39_01a;Rotteboezem;M3;
00007;RINGVAART ZPP brug N-Dwarsweg Zevenhuizen;99868;447108;SCHIEL;Schieland;1;;M10;;1;1967;;Bebouwing;STEDELIJK;Blauw;1;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Zevenhuizen;1;;Boezem;;;;12,6;1,33;NL39_03a;Ringvaart;M10;
00008;Rotte, voor sluis Hennipsloot 25m voor sluis;97731;446246;SCHIEL;Schieland;3;;M03;;;1967;;Water;OVERIG;Groen;;Zuidplas;;Boezem;Regulier;Hennipsloot;Zevenhuizen;;;Boezem;;;;8,2;1,3;NL39_01a;Rotteboezem;M3;
00009;Ringvaart ZPP, Middelweg Moordrecht vanaf brug;105589;444648;SCHIEL;Schieland;3;;M10;;;1975;;Bebouwing;STEDELIJK;Blauw;;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Moordrecht;;;Overige watergang;;;;23;1,94;NL39_03a;Ringvaart;M10;
00010;ROTTE thv Vlietkade Oud Verlaat Zevenhuizen;97733;443517;SCHIEL;Schieland;1;varen;M03;;1;1975;1;Water;OVERIG;Groen;1;Lansingerland;;Boezem;Regulier;Rotte;Bergschenhoek;1;;Boezem;;;40;30;2;NL39_01a;Rotteboezem;M3;
