mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;basis-jaarlijks;beginjaar;bestrijdingsmiddelen;bodemtype (detail);bodemtype (grof);ecokleurenkoers;fysisch-chemisch;gemeente;krw-biologie;landgebruik 2015;meetpuntsoort;naam water;plaatsnaam;publicatie op internet 1;quickscan-vegetatie;type watergang;vistrajecten;vlakdekkende vegetatieopnamen;waterbreedte in m (in het veld geschat);waterbreedte in m (legger);waterdiepte in m (legger);waterlichaamcode;waterlichaamnaam;watertype waterlichaam;zwemwater;long;lat
00001;Noorderkanaal, splitsing met Rotte vanaf brug;93227;439623;SCHIEL;Schieland;3;;M03;;;1967;;Bebouwing;STEDELIJK;Blauw;;Rotterdam;;Boezem;Regulier;Toevoerkanaal;Rotterdam;;;Boezem;;;;25;2,65;NL39_01a;Rotteboezem;M3;;4,48881947818355;51,9416267176116
00002;Bergse Achterplas, bij Lommerijk 1ste steiger noor;92923;440394;SCHIEL;Schieland;3;;M27;;;1967;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Plassen;Regulier;Rotte;Rotterdam;;;Overige watergang;;;;36;2;NL39_07a;Bergse Plassen;M27;;4,48425952726911;51,9485220770955
00003;Rotte, nabij De Kooi 50m noord van uitstroomhoofd;97306;444911;SCHIEL;Schieland;3;;M03;;;1967;;Water;OVERIG;Groen;;Zuidplas;;Boezem;Regulier;Rotte;Zevenhuizen;;;Boezem;;;;45;1,4;NL39_01a;Rotteboezem;M3;;4,54724635084783;51,9895903840788
00004;Rotte, Bleiswijks Verlaat, Calamiteitenplan Ztm;97976;447669;SCHIEL;Schieland;3;;M03;;;1975;;Water;OVERIG;Groen;;Lansingerland;;Boezem;Regulier;Rotte;Bleiswijk;;;Boezem;;;;130;1;NL39_01a;Rotteboezem;M3;;4,55654066503786;52,0144467952846
00005;VAART Bleiswijk duiker nabij spoorbaan Hoefweg;96958;449954;SCHIEL;Schieland;1;;M10;;1;1975;;Bebouwing;STEDELIJK;Geel;1;Lansingerland;;Boezem;Regulier;;Bleiswijk;1;;Boezem;;;;7;0,8;NL39_02a;Vaart Bleiswijk;M10;;4,54132548701007;52,0348772601419
00006;Rotte, Holvoeterbrug Moerkapelse Zijde vanaf brug;98399;450672;SCHIEL;Schieland;3;;M03;;;1967;;Water;OVERIG;Groen;;Zuidplas;;Boezem;Regulier;Rotte;Moerkapelle;;;Boezem;;;;15;1,2;NL39_01a;Rotteboezem;M3;;4,56220499927766;52,0414791384138
00007;RINGVAART ZPP brug N-Dwarsweg Zevenhuizen;99868;447108;SCHIEL;Schieland;1;;M10;;1;1967;;Bebouwing;STEDELIJK;Blauw;1;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Zevenhuizen;1;;Boezem;;;;12,6;1,33;NL39_03a;Ringvaart;M10;;4,58418892343116;52,0095960888173
00008;Rotte, voor sluis Hennipsloot 25m voor sluis;97731;446246;SCHIEL;Schieland;3;;M03;;;1967;;Water;OVERIG;Groen;;Zuidplas;;Boezem;Regulier;Hennipsloot;Zevenhuizen;;;Boezem;;;;8,2;1,3;NL39_01a;Rotteboezem;M3;;4,55321010866594;52,0016325394749
00009;Ringvaart ZPP, Middelweg Moordrecht vanaf brug;105589;444648;SCHIEL;Schieland;3;;M10;;;1975;;Bebouwing;STEDELIJK;Blauw;;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Moordrecht;;;Overige watergang;;;;23;1,94;NL39_03a;Ringvaart;M10;;4,66786512190309;51,9880255747614
00010;ROTTE thv Vlietkade Oud Verlaat Zevenhuizen;97733;443517;SCHIEL;Schieland;1;varen;M03;;1;1975;1;Water;OVERIG;Groen;1;Lansingerland;;Boezem;Regulier;Rotte;Bergschenhoek;1;;Boezem;;;40;30;2;NL39_01a;Rotteboezem;M3;;4,55369515346095;51,9771061572029
00011;Ringvaart PPA, bij duiker Kerklaan Nieuwerkerk;102242;442076;SCHIEL;Schieland;1;;M10;;;1967;;Bebouwing;STEDELIJK;Blauw;1;Zuidplas;;Boezem;Regulier;Ringvaart Polder Pr. Alexander;Nieuwerkerk aan den IJssel;;;Boezem;;;;15;1,45;NL39_03a;Ringvaart;M10;;4,61953829040233;51,964601729489
00012;Ringvaart PPA, voor gemaal Beijerinck Capelle;98511;438202;SCHIEL;Schieland;3;;M10;;;1975;;Veraarde bovengrond op diep veen;VEEN;Groen;;Capelle aan den Ijssel;;Boezem;Regulier;Ringvaart Polder Pr. Alexander;Capelle aan den IJssel;;;Boezem;;;;14,5;1,44;NL39_03a;Ringvaart;M10;;4,56589190680215;51,9294174857598
00013;Ringvaart PPA, achter Beatrixstr. 52 Nieuwerkerk;102137;441836;SCHIEL;Schieland;3;;M10;;;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Zuidplas;;Boezem;Regulier;Ringvaart Polder Pr. Alexander;Nieuwerkerk aan den IJssel;;;Boezem;;;;20;1,5;NL39_03a;Ringvaart;M10;;4,61804756355782;51,9624347401982
00014;Ringvaart ZPP, 100m noord van RWZI Kerklaan;101738;442436;SCHIEL;Schieland;3;;M10;;;1977;;Bebouwing;STEDELIJK;Blauw;;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Nieuwerkerk aan den IJssel;;;Boezem;;;;11,5;1,45;NL39_03a;Ringvaart;M10;;4,61214951780536;51,9677891538795
00016;BOEZEMKANAAL bij Schilthuis va brug Gerdesiaweg;93781;437906;SCHIEL;Schieland;1;;M03;;1;1973;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Boezem;Regulier;Toevoerkanaal;Rotterdam;1;;Boezem;;;;25;2,65;NL39_01a;Rotteboezem;M3;;4,49718131225916;51,9262567096793
00017;Kralinge Plas voor duiker Kralingseplaslaan nr.21;94412;438651;SCHIEL;Schieland;3;;M14;;;1977;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Plassen;Regulier;Toevoerkanaal;Rotterdam;;;Overige watergang;;;;25;2,65;NL39_08a;Kralingse Plas;M14;;4,50622267105555;51,9330213958479
00018;BERGSE VOORPLAS zuidelijk deel thv steiger Aegir;93417;440408;SCHIEL;Schieland;1;varen botenhelling Ringdijk, sleutel;M27;;;1977;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;Rotte;Rotterdam;1;;Overige watergang;;;;36;2;NL39_07a;Bergse Plassen;M27;;4,49144166982601;51,9487028479678
00018A;Bergse Voorplas, recent PAC toegepast;0;0;SCHIEL;Schieland;3;coord als 00018;-;;;2011;;;;;;;;;Overig;;;;;;;;;;;;;;;;
00018C;Bergse Voorplas, referentielocatie geen PAC toegepast;0;0;SCHIEL;Schieland;3;coord als 00018;-;;;2011;;;;;;;;;Overig;;;;;;;;;;;;;;;;
00019;Vijver Bleiswijkse zoom van brug Merenweg Bleiswij;97403;445984;SCHIEL;Schieland;3;;M27;;;1977;;Lichte klei met homogeen profiel;KLEI;Groen;;Lansingerland;;Plassen;Regulier;Rotte;Bleiswijk;;;Overige watergang;;;;125;1;NL39_06a;Bleiswijkse Zoom;M27;;4,54847807028096;51,9992439083129
00020;Molenviergang Tweemanspolder vanaf brug bovenmolen;98148;448423;SCHIEL;Schieland;1;;-;;;1977;;Lichte klei met homogeen profiel;KLEI;Geel;1;Zuidplas;;Afvoer/gemaal;Regulier;Derde molengang;Zevenhuizen;;;Boezem;;;;7,1;1,2;;;;;4,55892068181927;52,021240918384
00021;KOORNMOLENGAT ca 30m west van toegang;98144;447091;SCHIEL;Schieland;1;sleutel;M14;;1;1977;;Lichte klei met homogeen profiel;KLEI;Groen;1;Zuidplas;;Recreatie;Regulier;Derde tocht zuid;Zevenhuizen;1;1;Overige watergang;;;;4;0,75;;;;;4,55908363957296;52,0092693364794
00022;Hennipsloot, nabij Roerdomp, vanaf brug;98283;446769;SCHIEL;Schieland;1;;M10;;;1977;;Lichte klei met homogeen profiel;KLEI;Groen;1;Zuidplas;;Boezem;Regulier;Hennipsloot;Zevenhuizen;1;;Boezem;;;;8,2;1,3;NL39_03a;Ringvaart;M10;;4,56116133081644;52,006389624839
00023;Zevenhuizerplas, van kade achter Strandweg 11 (Rec;98072;443360;SCHIEL;Schieland;3;;M20;;;1977;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Plassen;Regulier;;Rotterdam;;;Overige watergang;;;;6;0,8;NL39_04a;Zevenhuizerplas;M20;;4,55865478095435;51,975729982454
00024;RINGVAART ZPP bij gemaal Abr Kroes vo krooshek;104509;443499;SCHIEL;Schieland;1;;M10;;1;1975;;Klei op veen;KLEI;Blauw;1;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Moordrecht;1;;Boezem;;;;26,1;1,58;NL39_03a;Ringvaart;M10;;4,65231261738438;51,9776016979032
00025;ROTTE thv Boterdorps Verlaat voor sluis va brug;94587;440736;SCHIEL;Schieland;1;;M03;;1;1978;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Boezem;Regulier;;Rotterdam;1;;Boezem;;;;7;0,8;NL39_01a;Rotteboezem;M3;;4,50840038754438;51,9517790905775
00026;Noorderkanaal, oost van Bergsluis vanaf kade;91595;439349;SCHIEL;Schieland;3;;M03;;;1978;;Water;OVERIG;Groen;;Rotterdam;;Boezem;Regulier;Noorderkanaal;Rotterdam;;;Boezem;;;;26;1;NL39_01a;Rotteboezem;M3;;4,46513826662389;51,9389804814656
00027;VIijver Lage Bergse Bos bij afsluiter noordzijde b;94845;442915;SCHIEL;Schieland;1;;M30;;;1979;;Veen op ongerijpte klei;VEEN;Groen;1;Lansingerland;;Recreatie;Regulier;;Bergschenhoek;;;Overige watergang;;;;8;0,9;NL39_05a;Lage Bergse Bos;M30;;4,51177113315812;51,9713905036265
00028;Snelle Sluis Moordrecht buiten sluiskom ringvaartz;104679;443549;SCHIEL;Schieland;1;;-;;;1985;;Klei op veen;KLEI;;1;Zuidplas;;Gras;Regulier;;Moordrecht;;;Overige watergang;;;;4;0,8;;;;;4,65477941723418;51,9780665050082
00029;NOORDERKANAAL W v brug Straatweg steiger roeiver;92207;439492;SCHIEL;Schieland;1;;M03;;;1988;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Boezem;Regulier;Noorderkanaal;Rotterdam;1;;Boezem;;;;26;1;NL39_01a;Rotteboezem;M3;;4,47401103578438;51,9403351171709
00030;BERGSE VOORPLAS Noordelijk deel oost van eiland;93900;440919;SCHIEL;Schieland;1;varen botenhelling Ringdijk, sleutel;M27;;1;1988;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;7;0,8;NL39_07a;Bergse Plassen;M27;;4,49837547302434;51,9533486764052
00031;BERGSE ACHTERPLAS noordelijk deel thv Plaswijck;93247;441079;SCHIEL;Schieland;1;varen botenhelling Ringdijk, sleutel;M27;;;1987;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;5;0,9;NL39_07a;Bergse Plassen;M27;;4,48884855917825;51,9547144762688
00032;Ringvaart ZPP, eind 2de Tochtweg;103702;443195;SCHIEL;Schieland;3;;M10;;;1976;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Nieuwerkerk aan den IJssel;;;Boezem;;;;28,2;1,91;NL39_03a;Ringvaart;M10;;4,64061324038203;51,9747955319602
